관광안내소명,안내소위치명,시도명,시군구명,안내소소개,부가서비스정보,휴무일,운영시작시각(하절기),운영종료시각(하절기),운영시작시각(동절기),운영종료시각(동절기),평균근무인원수,영어안내가능여부,일본어안내가능여부,중국어안내가능여부,안내가능외국어,안내소전화번호,소재지도로명주소,소재지지번주소,운영기관명,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
고인돌 박물관,고창군 고창읍 고인돌공원길 74,전라북도,고창군,,"안전용품,전자기기충전등",월,09:00,18:00,09:00,18:00,2,Y,Y,Y,영+일+중,063-560-8676,전라북도 고창군 고창읍 고인돌공원길 74,,전라북도 고창군청,,35.441641,126.6524966,2020-10-27,6450000,전라북도
무장읍성,고창군 무장면 무장읍성길 45,전라북도,고창군,,"안전용품,전자기기충전등",연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,영+일+중,063-560-8047,전라북도 고창군 무장면 무장읍성길 45,,전라북도 고창군청,,35.41841778,126.5573449985,2020-10-27,6450000,전라북도
선운산,고창군 아산면 선운사로 158-4,전라북도,고창군,,"안전용품,전자기기충전등",연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,영+일+중,063-560-8687,전라북도 고창군 아산면 선운사로 158-4,,전라북도 고창군청,,35.5024913,126.586718,2020-10-27,6450000,전라북도
미당 시문학관,고창군 부안면 질마재로 2-8,전라북도,고창군,,"안전용품,전자기기충전등",월,09:00,18:00,09:00,18:00,2,Y,Y,Y,영+일+중,063-560-8037,전라북도 고창군 부안면 질마재로 2-8,,전라북도 고창군청,,35.535586,126.609988,2020-10-27,6450000,전라북도
동학홍보관,고창군 공음면 왕제산로 502,전라북도,고창군,,"안전용품,전자기기충전등",연중무휴,10:00,17:00,10:00,17:00,2,Y,Y,Y,영+일+중,063-564-1894,전라북도 고창군 공음면 왕제산로 502,,전라북도 고창군청,,35.403832,126.5413227,2020-10-27,6450000,전라북도
새만금관광안내소,부안군 변산면 새만금로 6번지,전라북도,부안군,,"안전용품,전자기기충전등",연중무휴,09:00,17:00,09:00,17:00,2,N,N,Y,중,063-581-6292,전라북도 부안군 변산면 새만금로 6,,전라북도 부안군청,,35.6967691127,126.5592369269,2020-10-27,6450000,전라북도
시외버스터미널,시외버스터미널 건물 입구,경상북도,포항시,방문객 대상 포항관광지 해설 및 안내,구급약품 및 휴대폰충전기 비치,주말 비상시근무,10:00,17:00,10:00,17:00,2,Y,Y,Y,,054-270-5836,경상북도 포항시 남구 중흥로 85 (상도동) 터미널 외부,경상북도 포항시 남구 상도동 579-13,경상북도 포항시청,http://phtour.pohang.go.kr/phtour/tour_infor/information/,36.01343347,129.3494764,2020-10-23,5020000,경상북도 포항시
포항역,포항역사 입구,경상북도,포항시,방문객 대상 포항관광지 해설 및 안내,DID(무인검색)설치+구급약품 및 휴대폰충전기 비치,연중무휴,10:00,17:00,10:00,17:00,2,Y,Y,Y,,054-270-5837,경상북도 포항시 북구 흥해읍 포항역로 1,경상북도 포항시 북구 흥해읍 이인리 137-1,경상북도 포항시청,http://phtour.pohang.go.kr/phtour/tour_infor/information/,36.07160518,129.3419282,2020-10-23,5020000,경상북도 포항시
여객선터미널,여객선터미널 입구,경상북도,포항시,방문객 대상 포항관광지 해설 및 안내,구급약품 및 휴대폰충전기 비치,입출항에 따른 탄력근무,10:00,17:00,10:00,17:00,1,Y,N,N,,054-270-5977,경상북도 포항시 북구 해안로 44 (항구동) 터미널 외부,경상북도 포항시 북구 항구동 58-54,경상북도 포항시청,http://phtour.pohang.go.kr/phtour/tour_infor/information/,36.05153891,129.378853,2020-10-23,5020000,경상북도 포항시
구룡포역사관,구룡포역사관 내부,경상북도,포항시,방문객 대상 포항관광지 해설 및 안내,구급약품 및 휴대폰충전기 비치,월요일,10:00,17:30,10:00,17:30,3,Y,Y,Y,,054-276-9605,경상북도 포항시 남구 구룡포읍 구룡포길 153-1,경상북도 포항시 남구 구룡포읍 구룡포리 243,경상북도 포항시청,http://phtour.pohang.go.kr/phtour/tour_infor/information/,35.99053932,129.561563,2020-10-23,5020000,경상북도 포항시
오어사,오어사 입구,경상북도,포항시,방문객 대상 포항관광지 해설 및 안내,구급약품 및 휴대폰충전기 비치,연중무휴,10:00,17:00,10:00,17:00,3,Y,Y,Y,,054-292-2374,경상북도 포항시 남구 오천읍 오어로 1,경상북도 포항시 남구 오천읍 항사리 34,경상북도 포항시청,http://phtour.pohang.go.kr/phtour/tour_infor/information/,35.926398,129.368808,2020-10-23,5020000,경상북도 포항시
보경사,보경사 입구,경상북도,포항시,방문객 대상 포항관광지 해설 및 안내,구급약품 및 휴대폰충전기 비치,연중무휴,10:00,17:00,10:00,17:00,3,Y,Y,Y,,054-262-2371,경상북도 포항시 북구 송라면 보경로 523,경상북도 포항시 북구 송라면 중산리 622,경상북도 포항시청,http://phtour.pohang.go.kr/phtour/tour_infor/information/,36.25296835,129.319202,2020-10-23,5020000,경상북도 포항시
호미곶,호미곶 광장,경상북도,포항시,방문객 대상 포항관광지 해설 및 안내,구급약품 및 휴대폰충전기 비치,연중무휴,10:00,17:00,10:00,17:00,3,Y,Y,Y,,054-282-1222,경상북도 포항시 남구 호미곶면 해맞이로 136,경상북도 포항시 남구 호미곶면 대보리 293-1,경상북도 포항시청,http://phtour.pohang.go.kr/phtour/tour_infor/information/,36.07608308,129.5665319,2020-10-23,5020000,경상북도 포항시
포항공항,공항내,경상북도,포항시,방문객 대상 포항관광지 해설 및 안내,구급약품 및 휴대폰충전기 비치,항공편에 따른 탄력근무,10:00,17:00,10:00,17:00,1,Y,Y,Y,,054-289-7298,경상북도 포항시 남구 동해면 일월로 18,경상북도 포항시 남구 동해면 도구리 402-1,경상북도 포항시청,http://phtour.pohang.go.kr/phtour/tour_infor/information/,35.98411499,129.4340373,2020-10-23,5020000,경상북도 포항시
자양영당 관광안내소,자양영당 내,충청북도,제천시,"제천시 관광전반 및 자양영당, 의병박물관 등에 대한 해설 안내",,"동절기, 설날, 추석",09:00,18:00,10:00,17:00,1,N,N,N,,043-641-4811,충청북도 제천시 봉양읍 의암로 566-7,충청북도 제천시 봉양읍 공전리 475,충청북도  제천시청,http://tour.jecheon.go.kr,37.09919835,128.086219,2020-12-21,4400000,충청북도 제천시
한방엑스포공원 관광안내소,한방과학관,충청북도,제천시,"제천시 관광전반 및 한방엑스포공원, 한방도시 제천 해설 안내",,"동절기, 설날, 추석",09:00,18:00,10:00,17:00,1,N,N,N,,043-646-7102,충청북도 제천시 한방엑스포로 19(왕암동),충청북도 제천시 왕암동 660,충청북도  제천시청,http://tour.jecheon.go.kr,37.1428677,128.160131,2020-12-21,4400000,충청북도 제천시
충북 관광정보센터,만남의 광장,충청북도,제천시,제천시 관광전반 및 청풍랜드 일원에 대한 해설 안내,"건강진단기기, 심장제세동기 구비","설날, 추석",09:00,18:00,10:00,17:00,2,Y,N,Y,,043-641-6731,충청북도 제천시 청풍면 청풍호로 50길6,충청북도 제천시 청풍면 교리 147,충청북도  제천시청,http://tour.jecheon.go.kr,37.01083356,128.1811895,2020-12-21,4400000,충청북도 제천시
천안역 관광안내소,천안역동부광장,충청남도,천안시,천안시 교통 및 관광 등 안내,,"신정,구정,추석",09:00,18:00,09:00,18:00,2,N,N,N,,041-521-2038,충청남도 천안시 동남구 작은재빼기길 5-10,충청남도 천안시 동남구 대흥동 237,충청남도 천안시청,cheonan.go.kr,36.81232127,127.1468206,2020-12-09,4490000,충청남도 천안시
천안종합터미널 관광안내소,신세계백화점앞,충청남도,천안시,천안시 교통 및 관광 등 안내,,"신정,구정,추석",09:00,18:00,09:00,18:00,2,N,N,N,,041-569-0041,충청남도 천안시 동남구 만남로 43,충청남도 천안시 동남구 신부동 356-6,충청남도 천안시청,cheonan.go.kr,36.81959489,127.1554333,2020-12-09,4490000,충청남도 천안시
천안아산공동관광홍보관,천안아산역사내2F매표소 맞은편,충청남도,천안시,천안시 교통 및 관광 등 안내,,"신정,구정,추석",09:00,18:00,09:00,18:00,2,Y,N,N,,041-531-5322,충청남도 아산시 배방읍 희망로 100,충청남도 아산시 배방읍 장재리 305,충청남도 천안시청,cheonan.go.kr,36.79452762,127.1044519,2020-12-09,4490000,충청남도 천안시
광주역 관광안내소,광주역 1층,광주광역시,북구,관광객 관광 종합정보 제공,관광안내 및 관광홍보물 제공,연중운영,09:00,18:00,09:00,18:00,3,Y,N,Y,,062-233-9370,광주광역시 북구 무등로 235(중흥동),광주광역시 북구 중흥동 611-2,광주광역시관광협회,http://www.gjtravel.or.kr/,35.16556172,126.9094573,2020-12-20,3620000,광주광역시 북구
명동관광안내소,신한은행옆,서울특별시,중구,관광안내소,관광정보제공,명절연휴,09:00,22:00,09:00,22:00,6,Y,Y,Y,,02-774-3238,서울특별시 중구 명동길 43-1,서울특별시 중구 명동1가 53-14,서울특별시 중구청,,37.563916,126.984859,2020-03-16,3010000,서울특별시 중구
서울글로벌문화체험센터,명동M프라자 5층,서울특별시,중구,관광안내소,관광정보제공,명절연휴,10:30,19:30,10:30,19:30,3,Y,Y,Y,,02-3789-7961,서울특별시 중구 명동8길 27,서울특별시 중구 명동2가 31-1,서울특별시 중구청,https://www.facebook.com/Seoulcenter3789,37.5625310530,126.9851683590,2020-03-16,3010000,서울특별시 중구
명동관광정보센터,명동관광정보센터,서울특별시,중구,관광안내소,관광정보제공,명절연휴,09:00,17:30,09:00,17:30,6,Y,Y,Y,,02-778-0333,서울특별시 중구 을지로66,서울특별시 중구 을지로2가 181,서울특별시 중구청,https://www.facebook.com/myeongdongTouristInformationCenter/,37.5651547343,126.985052,2020-03-16,3010000,서울특별시 중구
남대문관광안내소,시장내 E월드 상가,서울특별시,중구,관광안내소,관광정보제공,명절연휴,11:00,17:00,11:00,17:00,3,Y,Y,Y,,02-752-1913,서울특별시 중구 남대문시장4길 21,서울특별시 중구 남창동 49-1,서울특별시 중구청,,37.5591853698,126.9776539359,2020-03-16,3010000,서울특별시 중구
동대문관광안내소,굿모닝시티앞,서울특별시,중구,관광안내소,관광정보제공,명절연휴,11:00,21:00,11:00,21:00,6,Y,Y,Y,,02-2236-9135,서울특별시 중구 장충단로 247,서울특별시 중구 을지로6가 18-21,서울특별시 중구청,,37.5668024775,127.0073743,2020-03-16,3010000,서울특별시 중구
동대문디자인플라자,DDP종합안내실 인포데스크,서울특별시,중구,관광안내소,관광정보제공,명절연휴,11:00,19:00,11:00,19:00,3,Y,Y,Y,,02-2153-0407,서울특별시 중구 을지로 281,서울특별시 중구 을지로7가 2-1,서울특별시 중구청,,37.5680142223,127.0109091409,2020-03-16,3010000,서울특별시 중구
관광안내전시관,관광공사 지하 1층,서울특별시,중구,관광안내소,관광정보제공,명절연휴,09:00,20:00,09:00,20:00,9,Y,Y,Y,,02-729-9497,서울특별시 중구 청계천로 40,서울특별시 중구 다동 10,서울특별시 중구청,http://www.visitkorea.or.kr/intro.html,37.5685275850,126.9816264885,2020-03-16,3010000,서울특별시 중구
시민청,서울시청 지하,서울특별시,중구,관광안내소,관광정보제공,명절연휴,09:00,20:00,09:00,20:00,3,Y,Y,Y,,02-739-7755,서울특별시 중구 세종대로 110,서울특별시 중구 태평로1가 31,서울특별시 중구청,,37.5663176911,126.9778283816,2020-03-16,3010000,서울특별시 중구
동대문두산타워,두산타워내,서울특별시,중구,관광안내소,관광정보제공,명절연휴,10:30,12:00,10:30,12:00,5,Y,Y,Y,,02-3398-3114,서울특별시 중구 장충단로 275,서울특별시 중구 을지로6가 18-12,서울특별시 중구청,,37.5688854829,127.0087977,2020-03-16,3010000,서울특별시 중구
헬로에이피엠,헬로에이피엠내,서울특별시,중구,관광안내소,관광정보제공,명절연휴,13:00,19:00,13:00,19:00,1,Y,N,Y,,02-6388-1369,서울특별시 중구 장충단로 253,서울특별시 중구 을지로6가 18-35,서울특별시 중구청,,37.5674871873,127.0080773505,2020-03-16,3010000,서울특별시 중구
축령산 치유의 숲 안내센터,축령산 치유의 숲 관리사무소,전라남도,장성군,"축령산 산행안내, 숲 해설사 신청 등",,연중무휴,09:00,18:00,09:00,18:00,7,Y,N,N,,061-393-1777,,전라남도 장성군 서삼면 모암리 689,산림청,http://www.jangseong.go.kr/home/tour,35.376174,126.760709,2020-12-18,4980000,전라남도 장성군
마이산 북부 관광안내소,진안군 진안읍 마이산로 130,전라북도,진안군,,안전용품 등,연중무휴,10:00,17:00,10:00,17:00,2,Y,Y,Y,영+일+중,063-430-2652,전라북도 진안군 진안읍 마이산로 130,,전라북도 진안군청,,35.7754984,127.4178865,2020-10-27,6450000,전라북도
장성호관광지,장성호 관광지 관리사무소,전라남도,장성군,장성호 관광지 전반 안내,,연중무휴,09:00,18:00,09:00,18:00,2,N,N,N,,061-392-7248,전라남도 장성군 북하면 백양로 591-4,전라남도 장성군 북하면 쌍웅리 산38-1,전라남도 장성군청,http://www.jangseong.go.kr/home/tour,35.4137319971,126.8508164983,2020-12-18,4980000,전라남도 장성군
홍길동테마파크 관광지,홍길동테마파크 관리사무소,전라남도,장성군,홍길동 테마파크 전반 안내,,연중무휴,09:00,18:00,09:00,18:00,2,N,N,N,,061-394-8580,전라남도 장성군 황룡면 홍길동로 431,전라남도 장성군 황룡면 아곡리 373,전라남도 장성군청,http://www.jangseong.go.kr/home/tour,35.3186207091,126.7265578287,2020-12-18,4980000,전라남도 장성군
필암서원 유물전시관,필암서원 유물전시관,전라남도,장성군,"필암서원, 필암서원 유물전시관 전반 안내",,연중무휴,09:00,18:00,09:00,17:00,2,N,N,N,,061-393-8583,전라남도 장성군 황룡면 필암서원로 184,전라남도 장성군 황룡면 필암리 377,전라남도 장성군청,http://www.jangseong.go.kr/home/tour,35.3109596475,126.751991,2020-12-18,4980000,전라남도 장성군
한옥마을 관광안내소,전주시 완산구 기린대로 99,전라북도,전주시,,"안전용품,전자기기충전등",연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,영+일+중,063-282-1330,전라북도 전주시 완산구 기린대로 99,,전라북도 전주시청,,35.818255,127.153657,2020-10-27,6450000,전라북도
오목대 관광안내소,전주시 완산구 태조로 6,전라북도,전주시,,"안전용품,전자기기충전등",연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,영+일+중,063-282-1335,전라북도 전주시 완산구 태조로 6,,전라북도 전주시청,,35.815156,127.153901,2020-10-27,6450000,전라북도
경기전 관광안내소,전주시 완산구 태조로 44,전라북도,전주시,,"안전용품,전자기기충전등",연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,영+일+중,063-287-1330,전라북도 전주시 완산구 태조로 44,,전라북도 전주시청,,35.81551955,127.1501196,2020-10-27,6450000,전라북도
고속터미널 관광안내소,전주시 덕진구 전주천동로 469,전라북도,전주시,,"안전용품,전자기기충전등",연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,영+일+중,063-255-6949,전라북도 전주시 덕진구 전주천동로 469,,전라북도 전주시청,,35.83517088,127.1280739,2020-10-27,6450000,전라북도
전주역 관광안내소,전주시 덕진구 동부대로 680,전라북도,전주시,,"안전용품,전자기기충전등",연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,영+일+중,063-241-6949,전라북도 전주시 덕진구 동부대로 680,,전라북도 전주시청,,35.84968864,127.1634724,2020-10-27,6450000,전라북도
덕진공원 관광안내소,전주시 덕진구 권삼득로 390,전라북도,전주시,,"안전용품,전자기기충전등",연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,영+일+중,063-232-6293,전라북도 전주시 덕진구 권삼득로 390,,전라북도 전주시청,,35.84749295,127.1210313,2020-10-27,6450000,전라북도
종합관광안내소,군산시 성산면 구암로 547,전라북도,군산시,,안전용품 등,연중무휴,10:00,17:00,10:00,17:00,2,N,Y,Y,일+중,063-453-4986,전라북도 군산시 성산면 구암로 547,,전라북도 군산시청,,36.002238,126.789165,2020-10-27,6450000,전라북도
시간여행마을 관광안내소,군산시 장미동 1-70,전라북도,군산시,,안전용품 등,연중무휴,10:00,17:00,10:00,17:00,2,N,Y,Y,일+중,063-454-3332,전라북도 군산시 내항1길 8,,전라북도 군산시청,,35.98865349,126.7181135,2020-10-27,6450000,전라북도
새만금 관광안내소,군산시 비응로 129,전라북도,군산시,,안전용품 등,연중무휴,10:00,17:00,10:00,17:00,2,N,Y,Y,일+중,063-467-6030,전라북도 군산시 비응로 129,,전라북도 군산시청,,35.94320474,126.5347063,2020-10-27,6450000,전라북도
선유도 관광안내소,군산시 선유북길 31,전라북도,군산시,,안전용품 등,연중무휴,10:00,17:00,10:00,17:00,2,N,Y,Y,일+중,063-465-5186,전라북도 군산시 옥도면 선유북길 31,,전라북도 군산시청,,35.8109724207,126.4160733,2020-10-27,6450000,전라북도
군산역 관광안내소,군산시 내흥2길 197,전라북도,군산시,,안전용품 등,연중무휴,10:00,17:00,10:00,17:00,2,N,Y,Y,일+중,070-7743-9205,전라북도 군산시 내흥2길 197,,전라북도 군산시청,,35.99808734,126.7593859,2020-10-27,6450000,전라북도
신시도(월영봉) 관광안내소,군산시 옥도면 신시도리 5-242,전라북도,군산시,,안전용품 등,연중무휴,10:00,17:00,10:00,17:00,2,N,Y,Y,일+중,063-453-4986,전라북도 군산시 옥도면 새만금로 1559,,전라북도 군산시청,,35.8170581,126.4764831,2020-10-27,6450000,전라북도
장자도 관광안내소,군산시 옥도면 장자도리 12-1,전라북도,군산시,,안전용품 등,연중무휴,10:00,17:00,10:00,17:00,2,N,Y,Y,일+중,063-453-4986,전라북도 군산시 옥도면 장자도1길 70,,전라북도 군산시청,,35.81182608,126.397733,2020-10-27,6450000,전라북도
월명동 관광안내소,군산시 월명동 16-2,전라북도,군산시,,안전용품 등,연중무휴,10:00,17:00,10:00,17:00,2,N,Y,Y,일+중,063-453-4986,전라북도 군산시 구영6길 19,,전라북도 군산시청,,35.98529499,126.7080995671,2020-10-27,6450000,전라북도
동국사 관광안내소,군산시 금광동 135-8,전라북도,군산시,,안전용품 등,연중무휴,10:00,17:00,10:00,17:00,2,N,Y,Y,일+중,063-453-4986,전라북도 군산시 동국사길 16,,전라북도 군산시청,,35.9825001628,126.7075393,2020-10-27,6450000,전라북도
익산역 관광안내소,익산시 창인동2가 1번지,전라북도,익산시,,안전용품 등,연중무휴,09:00,18:00,09:00,17:30,2,N,Y,Y,일+중,063-859-3825,전라북도 익산시 익산대로 153,,전라북도 익산시청,,35.94186712,126.9473079,2020-10-27,6450000,전라북도
미륵사지 관광안내소,익산시 금마면 미륵사지로362,전라북도,익산시,,안전용품 등,연중무휴,09:00,18:00,09:00,17:30,2,N,Y,Y,일+중,063-859-3873,전라북도 익산시 금마면 미륵사지로362,,전라북도 익산시청,,36.01155171,127.028712,2020-10-27,6450000,전라북도
왕궁리유적(전시관 내) 안내소,익산시 궁성로 666,전라북도,익산시,,안전용품 등,연중무휴,09:00,18:00,09:00,17:30,2,N,Y,Y,일+중,063-859-4799,전라북도 익산시 왕궁면 궁성로 666,,전라북도 익산시청,,35.9715597763,127.0558096472,2020-10-27,6450000,전라북도
진주성관광안내소,진주성공북문,경상남도,진주시,진주관광홍보 및 안내,시정홍보,명절당일 1일,10:00,17:00,10:00,17:00,3,Y,Y,N,,055-749-7449,경상남도 진주시 남강로 626,경상남도 진주시 본성동 397,경상남도 진주시청,,35.19043229,128.0802214,2020-12-10,5310000,경상남도 진주시
진주역관광안내소,진주역내,경상남도,진주시,진주관광홍보 및 안내,시정홍보,명절당일 1일,10:00,17:00,10:00,17:00,1,Y,N,N,,070-4916-1489,경상남도 진주시 진주역로 130,경상남도 진주시 가좌동 68-10,경상남도 진주시청,,35.15115108,128.1182333,2020-12-10,5310000,경상남도 진주시
고창읍성안내소,고창읍성 정문,전라북도,고창군,고창읍성 관련,,연중무휴,10:00,18:00,10:00,17:00,3,Y,N,N,,063-560-8055,전라북도 고창군 고창읍 모양성로 1,전라북도 고창군 고창읍 읍내리 127,전라북도 고창군청,http://culture.gochang.go.kr,35.4316118305,126.7042082808,2020-11-05,4780000,전라북도 고창군
고인돌안내소,고인돌공원 정문,전라북도,고창군,고인돌유적 관련,"휠체어대여,유모차대여",월요일,10:00,17:00,10:00,17:00,3,N,Y,N,,063-560-8676,전라북도 고창군 고창읍 고인돌공원길 74,전라북도 고창군 고창읍 도산리 676,전라북도 고창군청,http://culture.gochang.go.kr,35.44169813,126.6524966,2020-11-05,4780000,전라북도 고창군
선운산안내소,선운산도립공원 정문,전라북도,고창군,선운산 관련,"휠체어대여,유모차대여",연중무휴,10:00,17:00,10:00,17:00,3,N,Y,N,,063-560-8687,전라북도 고창군 아산면 선운사로 158-4,전라북도 고창군 아산면 삼인리 398-4,전라북도 고창군청,http://culture.gochang.go.kr,35.5024913,126.5867375,2020-11-05,4780000,전라북도 고창군
판소리박물관,판소리박물관 정문,전라북도,고창군,판소리 관련,,월요일,10:00,19:00,10:00,17:00,3,N,N,N,,063-560-8063,전라북도 고창군 고창읍 동리로 100,전라북도 고창군 고창읍 읍내리 241-1,전라북도 고창군청,http://culture.gochang.go.kr,35.4323735298,126.7026295,2020-11-05,4780000,전라북도 고창군
무장현관아와읍성안내소,무장현관아와 읍성 정문,전라북도,고창군,무장현관아와읍성관련,,연중무휴,10:00,18:00,10:00,17:00,2,N,N,N,,063-560-8047,전라북도 고창군 고창읍 동리로 100,전라북도 고창군 고창읍 읍내리 241-1,전라북도 고창군청,http://culture.gochang.go.kr,35.4323735298,126.7026295,2020-11-05,4780000,전라북도 고창군
미당시문학관,미당시문학관 정문,전라북도,고창군,미당서정주시인 관련,,월요일,10:00,18:00,10:00,17:00,2,N,N,N,,063-560-8037,전라북도 고창군 부안면 질마재로 2-8,전라북도 고창군 부안면 선운리 231,전라북도 고창군청,http://culture.gochang.go.kr,35.5355885,126.6099265,2020-11-05,4780000,전라북도 고창군
동학홍보관,동학홍보관 정문,전라북도,고창군,동학농민혁명 관련,,연중무휴,10:00,17:00,10:00,17:00,, , , ,,063-560-2461,전라북도 고창군 공음면 왕제산로 502,전라북도 고창군 공음면 신대리 8,전라북도 고창군청,,35.403815,126.5413231,2020-12-01,4780000,전라북도 고창군
양림동 관광안내소,양림동 마을이야기관 1층,광주광역시,남구,근대문화유산의 보고인 양림동 역사문화마을에 관광객 맞춤형 관광정보를 안내하고 편의서비스를 제공,문화관광해설사(정기투어),매주 월요일,09:00,18:00,09:00,18:00,2,Y,Y,Y,영어+일본어+중국어,062-676-4486,,광주광역시 남구 양림동 202-69,광주광역시 관광협회,http://www.gjtravel.or.kr/,35.142361,126.915306,2020-12-17,3610000,광주광역시 남구
운주사,도암면,전라남도,화순군,운주사 내 천불천탑 및 와불상 안내,,연중무휴,09:30,17:00,10:00,16:30,2,N,Y,Y,,061-374-0548,전라남도 화순군 도암면 천태로 91-44,전라남도 화순군 도암면 용강리 77,전라남도 화순군청,www.hwasun.go.kr,34.9290633328,126.8825634940,2020-12-18,4900000,전라남도 화순군
고인돌,도곡면,전라남도,화순군,세계문화유산 고인돌 안내,,연중무휴,09:30,17:00,10:00,16:30,2,N,Y,Y,,061-379-3933,전라남도 화순군 도곡면 효산리 139-2,전라남도 화순군 도곡면 효산리 139-2,전라남도 화순군청,www.hwasun.go.kr,34.98663756,126.9169359,2020-12-18,4900000,전라남도 화순군
고인돌(보호각),춘양면,전라남도,화순군,세계문화유산 고인돌 안내,,연중무휴,09:30,17:00,10:00,16:30,1,N,Y,Y,,061-379-3907,전라남도 화순군 춘양면 지동길 10,전라남도 화순군 춘양면 대신리 269-1,전라남도 화순군청,www.hwasun.go.kr,34.96675007,126.9431963,2020-12-18,4900000,전라남도 화순군
조광조,능주면,전라남도,화순군,정암조광조 선생의 일대기 등 역사문화 안내,,매주일요일,09:30,17:00,10:00,16:30,1,N,Y,Y,,061-379-3501,전라남도 화순군 능주면 정암길 30,전라남도 화순군 능주면 남정리 174,전라남도 화순군청,www.hwasun.go.kr,34.99333811,126.9534172,2020-12-18,4900000,전라남도 화순군
쌍봉사,이양면,전라남도,화순군,"목조탑 대웅전과 철감선사탑비, 철감선사탑 안내",,매주일요일,09:30,17:00,10:00,16:30,1,N,Y,Y,,061-372-3765,전라남도 화순군 이양면 쌍산의로 459,전라남도 화순군 이양면 증리 741,전라남도 화순군청,www.hwasun.go.kr,34.88758118,127.0594008,2020-12-18,4900000,전라남도 화순군
공룡화석지,백아면,전라남도,화순군,공룡화석 발자국 안내,,매주월요일,09:30,17:00,10:00,16:30,1,N,Y,N,,061-379-3530,전라남도 화순군 백아면 백아로 2080,전라남도 화순군 백아면 서유리 652-1,전라남도 화순군청,www.hwasun.go.kr,35.16950589,127.0907754,2020-12-18,4900000,전라남도 화순군
이태원 역사관광안내소(지하),용산구 이태원동 지하철6호선 지하 내,서울특별시,용산구,,,"설, 추석 당일 휴무",10:00,19:00,10:00,19:00,3,Y,Y,Y,,02-3785-0942,용산구 이태원동 지하철6호선 지하 내,,서울특별시관광협회,http://www.sta.or.kr/new_home/6/6-1.html,37.5346163,126.9912059,2020-12-18,3020000,서울특별시 용산구
대전종합관광안내소,유성구 대학로 7,대전광역시,유성구,2012-04-24 개소,,연중무휴,09:00,18:00,09:00,18:00,,Y,Y,Y,,042-861-1330,대전광역시 유성구 대학로 1,대전광역시 유성구 봉명동 552-3,대전광역시관광협회,www.djta.or.kr,36.35411404,127.3411668,2020-06-30,6300000,대전광역시
대전트래블라운지관광안내소,동구 중앙로 187-1,대전광역시,동구,2020-09-07 개소,,연중무휴,09:00,21:00,09:00,21:00,,Y,Y,Y,,042-221-1905,대전광역시 동구 중앙로 187-1,대전광역시 동구 중동 26-14,대전광역시관광협회,www.djta.or.kr,36.3304821392,127.4299903366,2020-12-15,6300000,대전광역시
서대전역관광안내소,중구 오류로 23,대전광역시,중구,2002-05-01 개소,,연중무휴,09:00,18:00,09:00,18:00,,Y,Y,Y,,042-523-1338,대전광역시 중구 오류로 23,대전광역시 중구 오류동 74,대전광역시관광협회,www.djta.or.kr,36.3225488,127.403286,2020-06-30,6300000,대전광역시
복합터미널관광안내소,동구 동서대로1695번길30,대전광역시,동구,2012-01-14 개소,,연중무휴,09:00,18:00,09:00,18:00,,Y,Y,Y,,042-633-1355,대전광역시 동구 동서대로1695번길30,대전광역시 동구 용전동 68-2,대전광역시관광협회,www.djta.or.kr,36.35127681,127.4375195,2020-06-30,6300000,대전광역시
보석박물관관광안내소,익산시 왕궁면 호반로8,전라북도,익산시,,안전용품 등,연중무휴,09:00,18:00,09:00,17:30,2,N,Y,Y,일+중,063-859-4645,전라북도 익산시 왕궁면 호반로8,,전라북도 익산시청,,35.99061351,127.102548,2020-10-27,6450000,전라북도
정읍종합관광안내센터,정읍시 서부산업도로 301,전라북도,정읍시,,"안전용품,전자기기충전등",연중무휴,09:00,18:00,09:00,18:00,2,Y,Y,Y,영+일+중,063-536-6776,전라북도 정읍시 서부산업도로 301,,전라북도 정읍시청,,35.575165,126.8431294968,2020-10-27,6450000,전라북도
내장산 관광안내소,정읍시 내장산로 938,전라북도,정읍시,,"안전용품,전자기기충전등",연중무휴,09:00,18:00,09:00,17:30,2,Y,Y,Y,영+일+중,063-537-1330,전라북도 정읍시 내장산로 938,,전라북도 정읍시청,,35.493044,126.927949,2020-10-27,6450000,전라북도
종합관광안내소,남원시 양림길 17,전라북도,남원시,,"안전용품,전자기기충전등",연중무휴,09:00,18:00,09:00,17:30,2,N,N,N,,063-632-1330,전라북도 남원시 양림길 17,,전라북도 남원시청,,35.40288932,127.3872139,2020-10-27,6450000,전라북도
남원역 관광안내소,남원시 교룡로 71,전라북도,남원시,,"안전용품,전자기기충전등",연중무휴,09:00,18:00,09:00,17:00,2,N,N,N,,063-635-1330,전라북도 남원시 교룡로 71,,전라북도 남원시청,,35.41123261,127.3613900956,2020-10-27,6450000,전라북도
